ID Cliente,Etiqueta de rotatividade,Duração da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Média mensal de GB para download,Plano de Dados Ilimitado,Cobranças extras de dados,Estado,Número de Telefone,Gênero,Idade,Menos de 30,Idoso,Grupo,Número de Clientes por Grupo,Proteção de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobrança Mensal,Total de Cobranças,Categoria de Rotatividade,Motivo da Rotatividade
4444-BZPU,Não,1,3,8,0,0,Não,Não,0,0,3,Sim,0,KS,382-4657,Feminino,35,Não,Não,Não,0,Não,Mensal,Débito Automático,10,10,,
5676-PTZX,Não,33,179,431.3,0,0,Não,Não,0,0,3,Sim,0,OH,371-7191,Masculino,49,Não,Não,Não,0,Sim,Anual,Cheque,21,703,,
8532-ZEKQ,Não,44,82,217.6,0,0,Não,Sim,0,0,3,Sim,0,OH,375-9999,Masculino,51,Não,Não,Não,0,Sim,Anual,Débito Automático,23,1014,,
1314-SMPJ,Não,10,47,111.6,60,71,Sim,Sim,0,0,2,Sim,0,MO,329-9001,Feminino,41,Não,Não,Não,0,Não,Mensal,Cheque,17,177,,
2956-TXCJ,Não,62,184,621.2,310,694.4,Sim,Sim,0,0,3,Sim,0,WV,330-8173,Masculino,51,Não,Não,Não,0,Não,Anual,Débito Automático,28,1720,,
9152-DEPY,Não,17,68,120.7,0,0,Não,Não,0,0,0,Não,0,RI,344-9403,Masculino,23,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,9,156,,
1958-SDSO,Não,57,428,849.2,0,0,Não,Não,0,0,5,Sim,0,IA,363-1107,Masculino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,47,2671,,
8787-QZUC,Não,25,54,203.7,0,0,Não,Não,0,0,12,Sim,0,IA,366-9238,Masculino,29,Sim,Não,Não,0,Sim,Mensal,Débito Automático,47,1197,,
7768-OQJE,Não,70,171,627.4,0,0,Não,Não,0,0,1,Sim,0,NY,351-7269,Feminino,47,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,52,3593,,
7716-RHEB,Não,50,206,445.8,0,0,Não,Não,0,0,0,Não,0,ID,350-8884,Feminino,61,Não,Não,Não,0,Não,Anual,Cheque,11,539,,
4139-EXJK,Não,69,430,899.4,0,0,Não,Não,0,0,2,Sim,0,VT,386-2923,Masculino,59,Não,Não,Não,0,Sim,2 Anos,Débito Automático,67,4636,,
1133-QYCQ,Não,21,85,227.6,0,0,Não,Não,0,0,18,Não,20,TX,373-2782,Feminino,33,Não,Não,Não,0,Sim,Mensal,Débito Automático,56,1161,,
3423-EQRP,Não,10,31,61.3,0,0,Não,Não,0,0,0,Não,0,CO,393-7984,Masculino,44,Não,Não,Não,0,Não,Anual,Débito Automático,13,128,,
6070-AXDL,Não,59,299,585.2,0,0,Não,Não,0,0,19,Sim,0,SC,350-2565,Feminino,27,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,31,1795,,
1260-HOAY,Não,28,36,110.7,0,0,Não,Não,0,0,7,Sim,0,NE,331-3698,Feminino,27,Sim,Não,Não,0,Não,Mensal,Débito Automático,22,602,,
4633-QIYZ,Não,71,126,352.9,0,0,Não,Não,0,0,14,Sim,0,MO,353-2630,Masculino,35,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,54,3779,,
7650-WQWA,Não,70,128,351.2,0,0,Não,Não,0,0,4,Sim,0,IL,416-8428,Feminino,74,Não,Sim,Não,0,Sim,2 Anos,Cartão de Crédito,52,3675,,
9039-LTDP,Não,2,8,20.9,0,0,Não,Não,0,0,4,Não,7,NH,370-3359,Masculino,76,Não,Sim,Não,0,Sim,Anual,Cartão de Crédito,55,104,,
9552-QCAO,Não,28,158,311.7,0,0,Não,Não,0,0,4,Sim,0,LA,383-1121,Feminino,49,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,40,1122,,
8785-ENDQ,Não,1,2,6,0,0,Não,Não,0,0,0,Não,0,AZ,360-1596,Masculino,34,Não,Não,Não,0,Não,Mensal,Débito Automático,11,11,,
0640-LNBK,Não,1,2,7,0,0,Não,Não,0,0,4,Sim,0,OK,395-2854,Masculino,76,Não,Sim,Não,0,Não,Anual,Débito Automático,29,29,,
4782-CHZM,Não,73,162,435.5,0,0,Não,Não,0,0,7,Sim,0,GA,362-1407,Feminino,58,Não,Não,Não,0,Não,2 Anos,Débito Automático,43,3121,,
1380-YANO,Não,47,264,759,0,0,Não,Não,0,0,23,Sim,0,MA,353-3305,Feminino,21,Sim,Não,Não,0,Sim,Mensal,Cartão de Crédito,41,1926,,
2754-HZFE,Não,10,46,105.6,0,0,Não,Não,0,0,2,Sim,0,GA,372-9976,Masculino,51,Não,Não,Não,0,Não,Anual,Cartão de Crédito,27,262,,
4676-RXAH,Não,70,187,422.5,1050,1022,Sim,Sim,0,0,5,Não,36,MD,383-6029,Feminino,56,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,24,1676,,
6145-MBHF,Não,20,40,141.1,0,0,Não,Não,0,0,0,Não,0,AR,353-7289,Feminino,28,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,9,180,,
5992-ZZKY,Não,61,229,487.1,0,0,Não,Não,0,0,6,Sim,0,ID,390-7274,Feminino,39,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,52,3151,,
8539-DXRY,Não,13,34,103,0,0,Não,Não,0,0,7,Sim,0,WI,352-1237,Feminino,41,Não,Não,Não,0,Não,Mensal,Débito Automático,32,417,,
